kode,nama_bahan_makanan,air_g,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,fosfor_mg,besi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,vit._a_mcg,beta_karoten_mcg,karotentotal_mcg,vit._b1_mg,vit._b2_mg,niasin_mg,vitamin_c_mg
GP053,Abon haruwan,11.6,513,23.7,37,21.3,0,25,25,0.5,61,15,0,0.2,0,0,0,0,0,0,0
GP054,Abon ikan,6.4,435,27.2,20.2,36.1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,24.3,0
DR001,Akar tonjong segar,86.7,45,1.1,0.4,10.8,1.2,72,125,1.3,96,1147.1,0.02,0.2,0,83,90,0.02,0.03,1.9,2
DR002,Aletoge segar,90.6,37,4.4,0.5,3.8,1.7,50,248,2,2,105,0.16,0.4,0,0,35,0.02,0.09,0.6,46
ER001,Alpukat segar,84.3,85,0.9,6.5,7.7,0,10,20,0.9,2,278,0.2,0.4,0,189,180,0.05,0.08,1,13
AP026,Amparan tatak,58.4,191,1.3,5.5,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP015,Ampas kacang hijau,70.6,96,3.7,0.6,19.1,2.7,133,150,1.3,0,0,0,0,0,0,0,0.05,0,0,0
CP017,Ampas tahu kukus,82.5,75,4.1,2.1,10.7,5.1,203,60,1.3,0,0,0,0,0,0,0,0.07,0,0,0
CP018,Ampas tahu kering,9,414,26.6,18.3,41.3,0,19,29,4,45,1055.7,0.99,2.8,0,0,0,0.2,0.1,0.5,0
CP016,Ampas tahu mentah,84.1,67,5,2.1,8.1,4.1,460,88,1,8,184.5,0.17,0.5,0,0,0,0.06,0.02,0.1,0
FR001,Anak sapi daging gemuk segar,62,184,18.8,14,0,0,10,200,2.2,118,490.1,0.17,5.8,12,37,0,0.13,0.17,7,0
FR002,Anak sapi daging kurus segar,69,174,19.6,10,0,0,11,201,2.9,96,399.8,0.14,4.8,6,30,0,0.08,0.14,5.7,0
FR003,Anak sapi daging sedang segar,68,190,19.1,12,0,0,11,193,2.9,99,412.7,0.14,4.9,12,83,0,0.14,0.15,5.9,0
DR003,Andaliman segar,74.2,99,4.6,1,18,8.5,383,107,2.9,0,0,0,0,0,0,6.3,3,0,0,15
DR004,Andewi segar,91.8,226,1.6,0.2,5.3,4.1,33,66,1,29,414.6,0.13,1,0,1.72,0,0.14,0.09,0.5,10
ER002,Anggur hutan segar,92.3,30,0.5,0.2,6.8,1.2,39,12,1.1,0,0,0,0,0,0,1,0.01,0,0,3
FR004,Angsa daging segar,51.1,349,16.4,31.5,0,0,15,188,1.8,71,299.2,0.26,1.7,273,0,0,0.1,0.24,7.1,0
DP023,Anyang sayur,76.9,126,3.4,7.9,10.3,5.4,180,1,2.9,290,181,0.3,1.2,0,3.26,0,0.2,0,0,0
AP027,Apang kukus kue,49.5,202,3,0.3,46.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER003,Apel malang segar,85.9,57,0.5,0.4,12.8,0.8,9,18,0.6,4,175.4,110.16,0,0,26,2.24,0.05,0.03,0.1,5
ER004,Apel segar,84.1,58,0.3,0.4,14.9,2.6,6,10,0.3,2,130,124.2,0.3,0,30,90,0.04,0.03,0.1,5
AP028,Apem kue,63.1,148,2,0.5,33.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ER005,Arbai segar,89.9,37,0.8,0.5,8.3,0,28,27,0.8,2,43,63.52,18.9,0,2,60,0.03,0,0.1,60
DP024,Ares sayur,77.7,113,0.9,7.2,11.2,4.7,63,5,1.5,1.41,1030,0.7,3.8,0,6,0,0.1,0,0.5,0
BR001,Arrowroot segar,73.5,102,1,0.2,24.1,1.7,28,35,1.7,36,626.6,0.2,0.8,0,15,0,0.06,0.1,2.3,2
DP025,Arwan sirsir,59,277,2.4,25,10.7,4.6,120,40,2.4,240,320,0.2,0.9,0,1.58,0,0.1,0.2,0,11
NR001,Asam arang coklat segar,66.1,130,0.5,1.1,30.9,1.5,79,113,4.3,13,0,0,0,0,745,0,0.01,0.2,0,0
NR002,Asam arang merah segar,75.9,99,0.8,1.6,20.3,2.8,69,300,4.6,2,95.7,0,0.1,0,529,0,0.01,0.34,1.6,0
NR003,Asam kandis kering,32.2,261,0.9,1.6,63.3,5,192,657,4.4,26,341.4,0.4,0.3,0,0.2,0,0,0,0.4,0
NR004,Asam kandis segar,81.5,75,0.2,1.1,16.1,3.4,63,139,2.5,7,93.2,0.1,0.1,0,41,0,0.01,0,0.1,0
NR005,Asam masak pohon segar,31.4,267,2.8,0.6,62.5,1.2,74,113,0.6,9,139.5,0.09,0.1,0,9,30,0.34,0.04,0.7,2
NR006,Asam payak segar,65.1,135,0.8,0.4,32.1,10,60,39,5.7,0.2,0,0,0,0,0,0,0,0,0,0
DP022,Asinan Bogor sayuran,78,98,3.9,2.6,14.8,0.5,314,17,1.2,483,0,0,0,10,0,146,0.28,0,0,5
FP021,Ayam goreng church texas dada,42.2,338,35.2,20.6,0.4,0,79,221,5.6,800,369.5,0.16,1.1,16,0,80,0.52,0.16,12.1,0
FP023,Ayam goreng church texas sayap,47.2,295,34,16,1.5,0,81,179,3,771,237.2,0.16,1.2,13,0,50,0.44,0.13,6.2,0
FP022,Ayam goreng churchtexas paha,50.3,287,31,15.7,1.7,0,99,176,4.1,723,257,0.17,1.5,22,0,30,0.66,0.2,5.3,0
FP024,Ayam goreng kalasan paha,46.2,275,37.4,12.2,1.3,0,116,237,5.8,176,321.9,0.16,1.5,10,0,50,0.1,0,0,0
FP025,Ayam goreng kentucky dada,46.5,298,34.2,16.8,0.1,0,90,284,5.5,741,342,0.07,1,36,0,50,0.19,0,0,0
FP026,Ayam goreng Kentucky paha,48.7,286,32.1,16.1,1.1,0,89,248,6.9,746,265.2,0.09,2.3,31,0,20,0.5,0.21,5.5,0
FP027,Ayam goreng Kentuckysayap,44.7,297,35.9,15.2,1.6,0,103,227,4.4,807,248.4,0.06,1.4,22,0,70,0.73,0.14,6.5,0
FP028,Ayam goreng mbok berek dada,43.4,295,39.2,13.6,1,0,114,278,5.4,0,0,0,0,8,0,50,0.19,0,0,0
FP029,Ayam goreng pasundan dada,50.1,246,37.9,9,0.7,0,90,260,7.5,0,0,0,0,6,0,70,0.16,0,0,0
FP030,Ayam goreng pasundan paha,52.8,245,33.1,11.4,0.3,0,90,283,7.3,0,0,0,0,8,0,40,0.37,0,0,0
FP031,Ayam goreng pioneer dada,44.5,295,37.4,14.7,0.6,0,108,236,6.8,0,0,0,0,16,0,80,0.1,0,0,0
FP032,Ayam goreng sukabumi dada,49.8,244,36.7,9.2,1,0,81,154,6.1,0,0,0,0,20,0,80,0.66,0,0,0
FP033,Ayam goreng sukabumi paha,46,283,35.7,14.3,0.5,0,68,106,5.4,0,0,0,0,11,0,60,0.36,0,0,0
