kode,nama_bahan_makanan,energi_kal,protein_g,lemak_g,karbohidrat_g,serat_g,kalsium_mg,besi_mg,natrium_mg
GP053,Abon haruwan,513,23.7,37,21.3,0,25,0.5,61
GP054,Abon ikan,435,27.2,20.2,36.1,0,0,0,0
DR001,Akar tonjong segar,45,1.1,0.4,10.8,1.2,72,1.3,96
DR002,Aletoge segar,37,4.4,0.5,3.8,1.7,50,2,2
ER001,Alpukat segar,85,0.9,6.5,7.7,0,10,0.9,2
AP026,Amparan tatak,191,1.3,5.5,34,0,0,0,0
CP015,Ampas kacang hijau,96,3.7,0.6,19.1,2.7,133,1.3,0
CP017,Ampas tahu kukus,75,4.1,2.1,10.7,5.1,203,1.3,0
CP018,Ampas tahu kering,414,26.6,18.3,41.3,0,19,4,45
CP016,Ampas tahu mentah,67,5,2.1,8.1,4.1,460,1,8
FR001,Anak sapi daging gemuk segar,184,18.8,14,0,0,10,2.2,118
FR002,Anak sapi daging kurus segar,174,19.6,10,0,0,11,2.9,96
FR003,Anak sapi daging sedang segar,190,19.1,12,0,0,11,2.9,99
DR003,Andaliman segar,99,4.6,1,18,8.5,383,2.9,0
DR004,Andewi segar,226,1.6,0.2,5.3,4.1,33,1,29
ER002,Anggur hutan segar,30,0.5,0.2,6.8,1.2,39,1.1,0
FR004,Angsa daging segar,349,16.4,31.5,0,0,15,1.8,71
DP023,Anyang sayur,126,3.4,7.9,10.3,5.4,180,2.9,290
AP027,Apang kukus kue,202,3,0.3,46.7,0,0,0,0
ER003,Apel malang segar,57,0.5,0.4,12.8,0.8,9,0.6,4
ER004,Apel segar,58,0.3,0.4,14.9,2.6,6,0.3,2
AP028,Apem kue,148,2,0.5,33.9,0,0,0,0
ER005,Arbai segar,37,0.8,0.5,8.3,0,28,0.8,2
DP024,Ares sayur,113,0.9,7.2,11.2,4.7,63,1.5,1.41
BR001,Arrowroot segar,102,1,0.2,24.1,1.7,28,1.7,36
DP025,Arwan sirsir,277,2.4,25,10.7,4.6,120,2.4,240
NR001,Asam arang coklat segar,130,0.5,1.1,30.9,1.5,79,4.3,13
NR002,Asam arang merah segar,99,0.8,1.6,20.3,2.8,69,4.6,2
NR003,Asam kandis kering,261,0.9,1.6,63.3,5,192,4.4,26
NR004,Asam kandis segar,75,0.2,1.1,16.1,3.4,63,2.5,7
NR005,Asam masak pohon segar,267,2.8,0.6,62.5,1.2,74,0.6,9
NR006,Asam payak segar,135,0.8,0.4,32.1,10,60,5.7,0.2
DP022,Asinan Bogor sayuran,98,3.9,2.6,14.8,0.5,314,1.2,483
FP021,Ayam goreng church texas dada,338,35.2,20.6,0.4,0,79,5.6,800
FP023,Ayam goreng church texas sayap,295,34,16,1.5,0,81,3,771
FP022,Ayam goreng churchtexas paha,287,31,15.7,1.7,0,99,4.1,723
FP024,Ayam goreng kalasan paha,275,37.4,12.2,1.3,0,116,5.8,176
FP025,Ayam goreng kentucky dada,298,34.2,16.8,0.1,0,90,5.5,741
FP026,Ayam goreng Kentucky paha,286,32.1,16.1,1.1,0,89,6.9,746
FP027,Ayam goreng Kentuckysayap,297,35.9,15.2,1.6,0,103,4.4,807
FP028,Ayam goreng mbok berek dada,295,39.2,13.6,1,0,114,5.4,0
FP029,Ayam goreng pasundan dada,246,37.9,9,0.7,0,90,7.5,0
FP030,Ayam goreng pasundan paha,245,33.1,11.4,0.3,0,90,7.3,0
FP031,Ayam goreng pioneer dada,295,37.4,14.7,0.6,0,108,6.8,0
FP032,Ayam goreng sukabumi dada,244,36.7,9.2,1,0,81,6.1,0
FP033,Ayam goreng sukabumi paha,283,35.7,14.3,0.5,0,68,5.4,0
FP034,Ayam taliwang masakan,264,18.2,20.1,2.7,0,94,2,507
FP001,Ayam ampela goreng,270,32.3,11.2,9.9,0,129,4.9,980
FR005,Ayam daging segar,298,18.2,25,0,0,14,1.5,109
FR006,Ayam dideh darah segar,75,13.8,1.9,0.7,0,15,1.3,337
FR007,Ayam hati segar,261,27.4,16.1,1.6,0,118,15.8,1.07
FP002,Ayam usus goreng,473,45.2,26.3,13.9,0,1.41,8.4,0
FP035,Babi hutan masak rica masakan,491,24.6,16.3,0.2,0,18,1.2,1.42
FR008,Babi daging gemuksegar,453,11.9,45,0,0,7,1.8,112
FR009,Babi daging kurus segar,371,14.1,35,0,0,8,2.1,97
FR010,Babi ginjal segar,110,16.3,4.6,0.8,0,11,8,139
FR011,Babi hati segar,129,19.7,4.8,1.7,0,10,18,110
BP013,Bagea kelapa asin,450,3.2,13.9,78.1,0,38,0.3,74
BP014,Bagea kelapa manis,452,1.3,13.8,80.6,0,38,0.3,75
BP015,Bagea kenari asin,529,3.2,29.1,63.6,0,38,0.4,74
BP016,Bagea kenari manis,523,3.2,28.2,64.2,0,38,0.3,74
BP017,Bagea kw 1,416,6.5,9.4,76.3,0.4,49,4.9,0
BP018,Bagea kw 2,382,0.3,3.5,87.2,0.9,172,7.6,0
AP030,Bakpia kue,272,8.7,6.7,44.1,0.9,194,4.5,0
DR005,Bakung segar,27,2,0.2,4.2,3.8,19,0.5,37
AP031,Bakwan,280,8.2,10.2,39,3.4,204,7,0
NP001,Balichong,152,13.2,0.8,22.9,1.5,380,2.9,120
DR006,Baligo segar,15,0.4,0.2,3,0.4,19,0.4,2
AP032,Bantal,190,3.3,0.3,43.5,3.4,9,0.4,164
EP001,Barongko,159,3.1,5.8,23.5,0,35,1.2,46
AP033,Baruasa,417,6.5,8.2,79.3,0,0,0,0
AP034,Batar daan,107,2.2,2.2,19.6,0,20,0.6,200
BR002,Batatas gembili segar,76,1.1,0.9,16,4.2,0,0.2,10
BP001,Batatas kelapa ubi bakar,110,1.4,1.1,23.4,4.5,1,0.2,12
BP002,Batatas kelapa ubi kukus,92,1.2,0.3,21,4.1,0,0.2,10
BR003,Batatas kelapa ubi segar,89,1.1,0.1,21,4,0,0.2,20
BP003,Batatas tali ubi rebus,182,2.4,0.4,42.2,9.2,1,0.3,20
DR007,Bawang bombay segar,43,1.4,0.2,10.3,2,32,0.5,12
NR007,Bawang merah segar,46,1.5,0.3,9.2,1.7,36,0.8,7
NR008,Bawang putih segar,112,4.5,0.2,23.1,0.6,42,1,46
DR009,Bayam merah segar,41,2.2,0.8,6.3,2.2,520,7,20
DP001,Bayam kukus,30,1.3,0.7,5.8,1.2,239,5.7,15
DP002,Bayam rebus,23,1.2,0.6,3.7,1.1,150,0.5,16
DR008,Bayam segar,16,0.9,0.4,2.9,0.7,166,3.5,16
HP005,Bayau mi balu masakan,313,6,12.2,44.8,0,0,0,0
FR012,Bebek itik daging segar,321,16,28.6,0,0,15,1.8,54
FR013,Bebek alabio daging segar,303,11.3,27,3.7,0,20,4.8,50
FP003,Bebek daging goreng,300,24,20.7,4.5,0,170,4.1,34
DP026,Beberuk,65,1.1,5.2,3.5,3.1,179,8.3,53
FP036,Beef burger,258,10.6,9.5,32.5,0.4,210,2.6,572
FP037,Beef teriyaki masakan,151,8.6,3.1,22.3,0.3,142,2.3,377
FP038,Beef yakiniku masakan,132,9.8,1.1,20.7,0.3,302,2,409
NP002,Bekasam,116,11.9,4.9,6.1,3.5,704,7.5,711
NP003,Bekasang,78,11.4,2,3.6,0.4,54,2.6,4.02
GP001,Bekicot dendeng mentah,441,48.7,20.3,15.8,0,692,16.6,0
FR014,Belibis daging segar,131,20.2,4.3,2.8,0,8,9.6,46
ER006,Belimbing segar,36,0.4,0.4,8.8,3.3,4,1.1,4
BP004,Belitung talas kukus,145,1.2,0.4,34.2,1,21,0.9,7
BR004,Belitung talas segar,145,1.2,0.4,34.2,1.5,26,1.4,6
GP002,Belut goreng,417,25.9,19.4,32,0,840,4.9,71
GR011,Belut segar,70,14.6,0.8,1,0,49,1.5,55
GR012,Belutlaut segar,93,12.8,1.5,6.1,0,60,3,33
BR005,Bengkuang segar,59,1.4,0.2,12.8,1,15,0.6,2
BR006,Bentul Komba talas segar,98,1.6,0.7,20.9,0.7,44,1.5,0
BP005,Bentul talas kukus,71,2.3,0.3,15.4,0.5,29,0.6,0
BP019,Beras Cerdas,350,2.7,1.1,82.3,6.2,28,2.9,358
BP020,Beras ganyong,364,3.4,0.7,86.3,4.7,4,5,4
AR002,Beras giling var pelita mentah,369,9.5,1.4,77.1,0.4,68,1.4,34
AR003,Beras giling var rojolele mentah,357,8.4,1.7,77.1,0.2,147,1.8,34
AR001,Beras giling mentah,357,8.4,1.7,77.1,0.2,147,1.8,27
AR004,Beras hitam mentah,351,8,1.3,76.9,20.1,6,0.1,15
AR005,Beras jagung kuning kering mentah,358,5.5,0.1,82.7,10,20,1.4,1
AR006,Beras jagung putih kering mentah,307,4.8,0.1,71.8,10,17,1.2,1
AR007,Beras ketan hitam tumbuk mentah,360,8,2.3,74.5,1,10,6.2,11
AR008,Beras ketan putih tumbuk mentah,361,7.4,0.8,78.4,0.4,13,3.4,3
AR009,Beras ladang mentah,376,7.5,3.8,78,5.9,20,0.8,10
AR010,Beras menir mentah,362,7.7,4.4,73,0.2,22,3.7,90
AR011,Beras parboiled,353,6.8,0.6,80,0.5,5,0.8,2
BP021,Beras Siger,344,1.1,0.2,28.3,5.6,32,5.6,106
AR013,Beras tumbuk merah mentah,352,7.3,0.9,76.2,0.8,15,4.2,10
AR012,Beras tumbuk mentah,354,7.8,0.4,79.9,3.8,3,0.6,5
GP055,Betok wadi masakan,145,16.3,7,4.1,0,405,1.8,69
AP007,Bihun goreng instan,381,6.1,3.9,80.3,0,266,2.9,928
AP008,Bihun Jagung mentah,354,0.5,0.3,87.4,3,13,0.6,49
AP006,Bihun mentah,348,4.7,0.1,82.1,1.2,6,1.8,12
BP022,Biji nangka Biji salak,262,2.3,5.4,51.1,8,60,0.8,10
AP035,Bika ambon,199,2.1,1.5,44.4,0.3,45,1.8,0
AP036,Bingka,273,5.3,10.6,39.1,0,0,0,0
AP029,Biskuit,458,6.9,14.4,75.1,2.1,62,2.7,241
DR010,Bit segar,41,1.6,0.1,9.6,2.6,27,1,29
ER007,Biwah segar,51,0.3,0.1,12.1,0.7,220,0.8,1
ER114,Blewah segar,34,0.8,0.2,8.2,0.9,9,0.2,16
AP037,Bobengka,225,5.3,2.6,45.2,0,0,0,0
AP038,Bolu peca,197,3.3,4.6,35.6,0,0,0,0
NR009,Boros kunci segar,40,1,0.8,7.2,1,50,2,33
NR010,Boros laja lengkuas segar,26,1,0.3,4.7,1.1,50,2,24
DP027,Botok lamtoro,186,11.7,9.7,13,2.1,771,26,0
GP056,Bou ninahu ndamate masakan,79,6.3,1,1.1,0,0,0,67
GP057,Bouiki ninahu nggaluku masakan,94,7.8,2.2,10.8,0,0,0,58
AP039,Brem,249,3.4,0.4,58,0,198,2,0
FP039,Brongkos,141,15.3,3.3,12.6,1,87,5.1,0
ER008,Buah atung segar,23,0.8,0.2,5.2,0,30,4.6,0
ER009,Buah kelenting segar,110,1.4,2.1,21.4,0,8,1.1,2
DR011,Buah kelor,38,1.5,0.2,7.5,3.2,30,0,48
ER010,Buah kom segar,264,4,1.1,59.6,9,306,0.8,0
ER011,Buah mentega Bisbul segar,39,0.7,0.2,9.7,2,43,0.8,1
DR012,Buah merah,87,2.6,2.7,13.1,4,30,1.1,110
ER012,Buah Naga Merah segar,71,1.7,3.1,9.1,3.2,13,0.4,128
ER013,Buah Naga Putih segar,56,0.8,1,10.9,3.2,13,0.5,231
ER014,Buah negri segar,55,1.2,0.1,12.2,5.2,30,0.2,10
ER015,Buah nona segar,101,1.7,0.6,25.2,2.8,27,0.8,5
ER016,Buah rotan segar,78,0.6,0.3,18.2,0,1,3.4,7
ER017,Buah rukam segar,113,0.8,0.3,26.8,7.7,108,1.2,2
ER018,Buah ruruhi segar,29,2.1,0.7,3.6,2.6,6,0,36
ER019,Buah tuppa segar,67,0.4,0.2,15.9,0,12,0.5,2
FP004,Buaya daging dendeng mentah,365,49.6,4.8,30.8,0,60,4.3,500
BP023,Bubur sagu,167,0.2,4,33,0,3,0.1,7
AP040,Bubur tinotuan Manado,156,2.3,0.2,15.6,8.2,41,0.4,486
FP040,Bulgogi masakan,72,11.4,4.9,1.4,1.7,214,2.5,509
DP003,Buncis rebus,30,2.2,0.2,6.4,1.5,107,0.5,7
DR013,Buncis segar,34,2.4,0.3,7.2,1.9,101,0.7,8
DR014,Bunga pepaya segar,45,2.6,0.3,8.1,1.6,290,4.2,2
DR015,Bunga turi segar,42,2,1.1,6.1,3.3,28,0.8,97
CP020,Bungkil biji karet,333,29.3,3.3,50,0,102,12,0
CP021,Bungkil kacang tanah,336,37.4,13,30.5,0,730,30.7,0
CP022,Bungkil kelapa,368,23,15,40,0,137,41.5,0
DP028,Buntil daun talas,141,4.4,10.2,8,1.8,149,14.5,0
FR015,Burung sarang segar,281,37.5,0.3,32.1,0,485,3,0
NR011,Cabai gembor merah segar,38,1.6,0.8,6.3,1.6,49,1.1,7
NR012,Cabai hijau segar,26,0.7,0.3,5.2,2.6,14,0.4,7
NR013,Cabai merah kering,367,15.9,6.2,61.8,26.9,160,2.3,25
NR014,Cabai merah segar,36,1,0.3,7.3,1.4,29,0.5,23
